origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Central Goldfields,Wyndham,Amherst,Bendigo Loddon,-37.033860221772294,143.7415314189357,Hoppers Crossing,Melbourne,-37.880242042143955,144.68509738538478,13511,2727,125.67229110090094,65.92406187550884,13.692546813707349,3.086374065576197,34.07593812449116,6.276367404337206,1.1472133816889942
Kingston (Vic.),Mount Alexander,Braeside,Melbourne,-37.9903389839083,145.0955422316942,Redesdale,Bendigo Loddon,-37.0586987197156,144.23384889363635,13501,3722,128.47519420574918,68.19494852233167,13.761943559736316,2.9183023479742243,31.80505147766832,6.347677949781498,1.4665580327383156
Cardinia,Mildura,Officer,Yarra Valley and the Dandenong Ranges,-38.06690098622835,145.47087937153333,Mildura,Mallee,-34.25054742529868,142.13043425406676,13492,2373,519.5408816233095,70.6715090423955,15.727838719241033,2.6682478505781204,29.328490957604508,6.892973613993478,1.3341239252890602
Moyne,Hume,Allansford,Great Ocean Road,-38.2728423335547,142.44124112405157,Tullamarine,Melbourne,-37.61916005016096,144.88102921785145,13470,3760,225.9400113368541,71.19524870081662,15.270972531551596,3.192279138827023,28.804751299183373,5.953971789161098,1.0319227913882703
Moorabool,Campaspe,Darley,Macedon,-37.65388279421886,144.35188791224363,Echuca Village,Central Murray,-36.23436338726099,144.80628852374232,13462,3575,162.92645388016112,64.55207250037141,12.80641806566632,1.7605110681919476,35.447927499628584,6.670628435596495,1.1439607784875947
Wangaratta,Campaspe,Boralma,High Country,-36.376466908422685,146.3351540678262,Nanneella,Central Murray,-36.23436338726099,144.80628852374232,13459,4211,137.90669629989594,67.64989969537113,12.593803402927408,2.548480570621889,32.35010030462887,5.371870124080541,1.0179062337469351
Darebin,Golden Plains,Preston (Vic.),Melbourne,-37.73735356736465,145.0080486614528,Bannockburn (Vic.),Geelong and the Bellarine,-37.88176728103576,143.97487535936617,13451,3776,92.17316307278723,71.66009962084603,14.616013679280352,3.0704036874581817,28.339900379153963,6.200282506876812,0.9887740688424653
Glen Eira,Moyne,Caulfield North,Melbourne,-37.8980879886572,145.04147896041195,Purnim,Great Ocean Road,-38.2728423335547,142.44124112405157,13444,4003,231.34957308482555,69.85272240404642,15.813745908955667,2.6703362094614698,30.147277595953586,6.263016959238323,1.123177625706635
Macedon Ranges,Mildura,Kyneton,Macedon,-37.38513245836307,144.59317056983807,Nichols Point,Mallee,-34.25054742529868,142.13043425406676,13443,3542,413.2327741332273,72.96734359889906,13.970095960723054,3.5706315554563717,27.032656401100947,4.790597336903965,1.033995387934241
Hepburn,Manningham,Smeaton,Spa Country,-37.347546002481,144.06228219784037,Warrandyte,Melbourne,-37.774684104320194,145.14744352147358,13441,3555,106.79302200503773,61.46864072613645,14.35161074324827,1.9195000371996132,38.53135927386355,7.878878059668179,1.1829476973439477
Brimbank,Mansfield,Calder Park,Melbourne,-37.75105319149853,144.79832932276742,Mount Buller,High Country,-37.07924310158439,146.07790953829777,13427,3707,135.4648982779362,71.19982125567886,14.254859611231103,2.5620019363968125,28.80017874432114,5.83898115736948,0.878826245624488
Central Goldfields,Hume,Talbot (Vic.),Bendigo Loddon,-37.033860221772294,143.7415314189357,Tullamarine,Melbourne,-37.61916005016096,144.88102921785145,13425,2657,119.9463462959779,71.36685288640597,14.413407821229049,3.217877094972067,28.633147113594042,6.346368715083798,1.0279329608938548
Golden Plains,Mornington Peninsula,Lethbridge,Geelong and the Bellarine,-37.88176728103576,143.97487535936617,Mount Eliza,Peninsula,-38.29235403626136,145.02040683307882,13424,3220,102.2599605262665,69.02562574493444,16.314064362336115,2.9499404052443388,30.974374255065555,6.905542312276519,1.0578069129916567
