origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Casey,Greater Geelong,20,Weekend,Off_Peak,169,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Barwon Heads,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,20,Weekday,Off_Peak,514,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Norlane,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,21,Weekday,Off_Peak,695,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,21,Weekend,Off_Peak,264,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,22,Weekend,Off_Peak,305,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,22,Weekday,Off_Peak,487,Berwick,Melbourne,-38.06111031151929,145.30117652760546,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,23,Weekday,Off_Peak,648,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546,Norlane,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Casey,Greater Geelong,23,Weekend,Off_Peak,282,Cranbourne North,Melbourne,-38.06111031151929,145.30117652760546,Bell Post Hill,Geelong and the Bellarine,-38.15019675302578,144.38958580418054
Greater Bendigo,Hume,0,Weekend,Off_Peak,290,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,0,Weekday,Off_Peak,744,California Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Sunbury,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,1,Weekend,Off_Peak,238,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,1,Weekday,Off_Peak,640,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,2,Weekend,Off_Peak,348,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,2,Weekday,Off_Peak,834,Golden Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,3,Weekday,Off_Peak,898,Marong,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,3,Weekend,Off_Peak,343,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,4,Weekend,Off_Peak,448,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,4,Weekday,Off_Peak,1195,Golden Square,Bendigo Loddon,-36.76027365719228,144.29640191322605,Greenvale (Vic.),Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,5,Weekday,Off_Peak,1189,Ironbark (Vic.),Bendigo Loddon,-36.76027365719228,144.29640191322605,Mickleham,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,5,Weekend,Off_Peak,509,Golden Gully,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
Greater Bendigo,Hume,6,Weekend,Off_Peak,453,Bendigo,Bendigo Loddon,-36.76027365719228,144.29640191322605,Wildwood,Melbourne,-37.615969590974,144.88136462221786
