origin_lga,dest_lga,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon,n_trips,n_devices,avg_distance_km,pct_weekday,pct_weekday_am_peak,pct_weekday_pm_peak,pct_weekend,pct_weekend_am_peak,pct_weekend_pm_peak
Mildura,Melton,Mittyack,Mallee,-34.25696924119131,142.1217570104949,Taylors Hill,Melbourne,-37.72214220491137,144.66696598468297,313,220,448.17116094204516,79.87220447284345,11.501597444089457,2.2364217252396164,20.12779552715655,2.5559105431309903,0.0
Greater Geelong,Central Goldfields,Lovely Banks,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Carisbrook,Bendigo Loddon,-37.02905323881371,143.74290351092444,313,137,137.06885099611722,71.56549520766772,9.904153354632587,0.9584664536741214,28.434504792332266,5.111821086261981,0.9584664536741214
Melton,Mildura,Melton (Vic.),Melbourne,-37.72214220491137,144.66696598468297,Mildura,Mallee,-34.25696924119131,142.1217570104949,313,224,448.17116094204516,73.48242811501598,9.26517571884984,2.8753993610223643,26.517571884984026,3.5143769968051117,0.6389776357827476
Loddon,Darebin,Wedderburn (Vic.),Bendigo Loddon,-36.4550804760836,143.92631495641191,Northcote,Melbourne,-37.73856099416225,145.00957747043233,313,186,172.03891094461838,78.27476038338658,11.821086261980831,2.2364217252396164,21.72523961661342,2.2364217252396164,0.9584664536741214
Campaspe,Mount Alexander,Burnewang,Central Murray,-36.23581917987795,144.8057801454641,Harcourt,Bendigo Loddon,-37.05849514622917,144.23676542972527,312,204,104.61843325218531,69.55128205128204,8.333333333333332,0.9615384615384616,30.448717948717945,2.8846153846153846,0.641025641025641
Buloke,Brimbank,Sea Lake,Wimmera,-36.11992483355926,143.07087986220304,Albanvale,Melbourne,-37.75022702710584,144.79610934963873,312,83,237.42506486450065,58.01282051282052,14.743589743589745,1.282051282051282,41.98717948717949,4.807692307692308,0.3205128205128205
Yarra,Buloke,Carlton North,Melbourne,-37.79921964089451,144.98881256422413,Donald,Wimmera,-36.11992483355926,143.07087986220304,312,197,252.78661259333467,76.92307692307693,14.102564102564102,1.282051282051282,23.076923076923077,4.807692307692308,0.0
Bayside (Vic.),Benalla,Beaumaris (Vic.),Melbourne,-37.937200247483275,145.01525321339588,Benalla,High Country,-36.547081151597965,145.99153183099918,310,188,177.0894257560516,75.48387096774194,17.419354838709676,1.2903225806451613,24.516129032258064,3.870967741935484,0.3225806451612903
Wodonga,Greater Dandenong,Wodonga,Murray East,-36.13000861559989,146.88124164163418,Dandenong,Melbourne,-37.986216161525185,145.18810081764852,310,267,255.28090626147383,83.87096774193549,20.0,1.935483870967742,16.129032258064516,1.2903225806451613,0.0
Mansfield,Greater Dandenong,Bonnie Doon (Vic.),High Country,-37.0783858520291,146.0652756768719,Keysborough,Melbourne,-37.986216161525185,145.18810081764852,309,168,127.17100016651037,69.25566343042071,16.828478964401295,4.207119741100324,30.74433656957929,5.177993527508091,1.2944983818770228
Greater Dandenong,Strathbogie,Dandenong,Melbourne,-37.986216161525185,145.18810081764852,Nagambie,Goulburn,-36.784768692435414,145.38652415301266,309,155,134.7401038955005,77.34627831715211,15.53398058252427,1.2944983818770228,22.653721682847898,4.854368932038835,1.2944983818770228
